Time,Battery Voltage (from Main EPS)
01/09/2020 2:00:00,12
01/09/2020 14:00:00,12
03/09/2020 2:00:00,12
03/09/2020 14:00:00,12
04/09/2020 2:00:00,12
04/09/2020 14:00:00,12
05/09/2020 2:00:00,12
05/09/2020 14:00:00,12
06/09/2020 2:00:00,12
06/09/2020 14:00:00,12
07/09/2020 2:00:00,12
07/09/2020 14:00:00,12
08/09/2020 2:00:00,12
08/09/2020 14:00:00,12
09/09/2020 2:00:00,12
09/09/2020 14:00:00,12
10/09/2020 2:00:00,12
10/09/2020 14:00:00,12
11/09/2020 2:00:00,12
11/09/2020 14:00:00,12
12/09/2020 2:00:00,12
12/09/2020 14:00:00,12
13/09/2020 2:00:00,12
13/09/2020 14:00:00,12
14/09/2020 2:00:00,12
14/09/2020 14:00:00,12
15/09/2020 2:00:00,12
15/09/2020 14:00:00,12
16/09/2020 2:00:00,12
16/09/2020 14:00:00,12
17/09/2020 2:00:00,12
17/09/2020 14:00:00,12
18/09/2020 2:00:00,12
18/09/2020 14:00:00,12
19/09/2020 2:00:00,12
19/09/2020 14:00:00,12
20/09/2020 2:00:00,12
20/09/2020 14:00:00,12
21/09/2020 2:00:00,12
21/09/2020 14:00:00,12
22/09/2020 2:00:00,12
22/09/2020 14:00:00,12
23/09/2020 2:00:00,12
23/09/2020 14:00:00,12
24/09/2020 2:00:00,12
24/09/2020 14:00:00,12
25/09/2020 2:00:00,12
25/09/2020 14:00:00,12
26/09/2020 2:00:00,12
26/09/2020 14:00:00,12
27/09/2020 2:00:00,12
27/09/2020 14:00:00,12
28/09/2020 2:00:00,12
28/09/2020 14:00:00,12
29/09/2020 2:00:00,12
29/09/2020 14:00:00,12
30/09/2020 2:00:00,12
30/09/2020 14:00:00,12
01/10/2020 2:00:00,12
01/10/2020 14:00:00,12
02/10/2020 2:00:00,12
02/10/2020 14:00:00,12
03/10/2020 2:00:00,12
03/10/2020 14:00:00,12
04/10/2020 2:00:00,12
04/10/2020 14:00:00,12
05/10/2020 2:00:00,12
05/10/2020 14:00:00,12
06/10/2020 2:00:00,12
06/10/2020 14:00:00,12
07/10/2020 2:00:00,12
07/10/2020 14:00:00,12
08/10/2020 2:00:00,12
08/10/2020 14:00:00,12
09/10/2020 2:00:00,12
09/10/2020 14:00:00,12
10/10/2020 2:00:00,12
10/10/2020 14:00:00,12
11/10/2020 2:00:00,12
11/10/2020 14:00:00,12
12/10/2020 2:00:00,12
12/10/2020 14:00:00,12
13/10/2020 2:00:00,12
13/10/2020 14:00:00,12
14/10/2020 2:00:00,12
14/10/2020 14:00:00,12
15/10/2020 2:00:00,12
15/10/2020 14:00:00,12
16/10/2020 2:00:00,12
16/10/2020 14:00:00,12
17/10/2020 2:00:00,12
17/10/2020 14:00:00,12
18/10/2020 2:00:00,12
18/10/2020 14:00:00,12
19/10/2020 2:00:00,12
19/10/2020 14:00:00,12
20/10/2020 2:00:00,12
20/10/2020 14:00:00,12
21/10/2020 2:00:00,12
21/10/2020 14:00:00,12
22/10/2020 2:00:00,12
22/10/2020 14:00:00,12
23/10/2020 2:00:00,12
23/10/2020 14:00:00,12
24/10/2020 2:00:00,12
24/10/2020 14:00:00,12
25/10/2020 2:00:00,12
